ANO;SEXO;NOMBRELOCALIDADRESIDENCIA;CASOS
2021;Mujer;UsaquÇ¸n;6
2023;Hombre;Antonio NariÇño;6
2021;Hombre;Tunjuelito;8
2024;Mujer;MÇ­rtires;1
2019;Hombre;Usme;5
2019;Mujer;EngativÇ­;1
2024;Hombre;Barrios Unidos;2
2015;Mujer;Barrios Unidos;1
2022;Hombre;Antonio NariÇño;20
2023;Hombre;Santa Fe;194
2017;Hombre;Sin dato;195
2017;Hombre;Santa Fe;197
2022;Mujer;MÇ­rtires;95
2022;Mujer;Sin dato;101
2016;Hombre;Chapinero;7
2018;Hombre;Ciudad BolÇğvar;7
2019;Hombre;MÇ­rtires;118
2017;Hombre;Antonio NariÇño;37
2019;Hombre;EngativÇ­;25
2022;Mujer;San CristÇübal;51
2024;Hombre;MÇ­rtires;43
2018;Hombre;Suba;4
2024;Hombre;EngativÇ­;29
2016;Mujer;Chapinero;1
2016;Hombre;Ciudad BolÇğvar;7
2023;Hombre;Bosa;9
2021;Mujer;FontibÇün;13
2017;Mujer;Rafael Uribe;10
2019;Hombre;Kennedy;16
2021;Mujer;Suba;2
2021;Hombre;Barrios Unidos;8
2024;Hombre;Teusaquillo;3
2020;Mujer;Antonio NariÇño;1
2016;Hombre;Antonio NariÇño;4
2023;Hombre;UsaquÇ¸n;2
2019;Mujer;San CristÇübal;1
2020;Mujer;Candelaria;6
2022;Mujer;Barrios Unidos;2
2018;Hombre;Tunjuelito;3
2018;Mujer;Suba;2
2020;Mujer;Suba;1
2018;Mujer;Ciudad BolÇğvar;1
2015;Mujer;Sin dato;75
2017;Hombre;Rafael Uribe;44
2018;Hombre;Sin dato;507
2015;Mujer;Candelaria;7
2023;Mujer;MÇ­rtires;18
2023;Mujer;EngativÇ­;12
2018;Hombre;Antonio NariÇño;23
2020;Hombre;Chapinero;25
2015;Hombre;FontibÇün;23
2019;Mujer;Antonio NariÇño;1
2021;Mujer;Bosa;5
2019;Hombre;FontibÇün;6
2023;Mujer;Puente Aranda;14
2021;Hombre;Usme;10
2020;Mujer;Bosa;3
2021;Mujer;EngativÇ­;2
2021;Hombre;Teusaquillo;6
2022;Hombre;EngativÇ­;9
2024;Hombre;Chapinero;3
2015;Hombre;Antonio NariÇño;5
2018;Hombre;Chapinero;4
2015;Hombre;EngativÇ­;13
2022;Hombre;Suba;6
2023;Mujer;Kennedy;3
2022;Mujer;Suba;2
2019;Hombre;UsaquÇ¸n;2
2017;Hombre;Candelaria;3
